#OTU ID	BS1
ZOTU_4578	1
ZOTU_4594	10
ZOTU_4603	2
ZOTU_4648	3
ZOTU_4678	8
ZOTU_4679	5
ZOTU_4695	9
ZOTU_4707	7
ZOTU_4712	3
ZOTU_4723	10
ZOTU_4766	3
ZOTU_4767	4
ZOTU_4779	3
ZOTU_4828	5
ZOTU_4831	7
ZOTU_4870	6
ZOTU_4880	1
ZOTU_4884	13
ZOTU_4888	8
ZOTU_4890	6
ZOTU_4904	15
ZOTU_4914	1
ZOTU_4916	6
ZOTU_4933	10
ZOTU_4934	2
ZOTU_4953	3
ZOTU_4957	3
ZOTU_4973	2
ZOTU_4990	1
ZOTU_5002	8
ZOTU_5011	1
ZOTU_5018	7
ZOTU_5021	4
ZOTU_5027	1
ZOTU_5031	6
ZOTU_5050	1
ZOTU_5060	1
ZOTU_5068	2
ZOTU_5072	1
ZOTU_5075	3
ZOTU_5086	7
ZOTU_5096	7
ZOTU_5101	11
ZOTU_5115	3
ZOTU_5126	6
ZOTU_5151	9
ZOTU_5155	1
ZOTU_5163	8
ZOTU_5166	4
ZOTU_5179	2
ZOTU_5188	9
ZOTU_5197	20
ZOTU_5220	6
ZOTU_5233	4
ZOTU_5269	4
ZOTU_5284	2
ZOTU_5308	2
ZOTU_5310	5
ZOTU_5313	6
ZOTU_5331	3
ZOTU_5336	3
ZOTU_5366	3
ZOTU_5370	1
ZOTU_5393	7
ZOTU_5398	4
ZOTU_5405	12
ZOTU_5417	8
ZOTU_5418	12
ZOTU_5430	8
ZOTU_5449	11
ZOTU_5487	8
ZOTU_5492	4
ZOTU_5525	1
ZOTU_5530	4
ZOTU_5531	7
ZOTU_5532	8
ZOTU_5561	10
ZOTU_5570	4
ZOTU_5578	2
ZOTU_5610	1
ZOTU_5619	8
ZOTU_5625	1
ZOTU_5626	1
ZOTU_5641	1
ZOTU_5661	5
ZOTU_5672	1
ZOTU_5705	9
ZOTU_5709	6
ZOTU_5723	7
ZOTU_5762	3
ZOTU_5764	5
ZOTU_5773	4
ZOTU_5835	2
ZOTU_5836	2
