#OTU ID	BS1
ZOTU_723	0
ZOTU_724	0
ZOTU_725	1
ZOTU_726	0
ZOTU_727	0
ZOTU_728	0
ZOTU_729	0
ZOTU_730	0
ZOTU_731	0
ZOTU_732	0
ZOTU_733	0
ZOTU_734	0
ZOTU_735	0
ZOTU_736	1
ZOTU_737	5
ZOTU_738	16
ZOTU_739	0
ZOTU_740	0
ZOTU_741	0
ZOTU_742	0
ZOTU_743	0
ZOTU_744	0
ZOTU_745	0
ZOTU_746	0
ZOTU_747	0
ZOTU_748	14
ZOTU_749	0
ZOTU_750	0
ZOTU_751	0
ZOTU_752	4
ZOTU_753	0
ZOTU_754	69
ZOTU_755	0
ZOTU_756	0
ZOTU_757	0
ZOTU_758	0
ZOTU_759	0
ZOTU_760	0
ZOTU_761	0
ZOTU_762	0
ZOTU_763	0
ZOTU_764	0
ZOTU_765	1
ZOTU_766	92
ZOTU_767	0
ZOTU_768	0
ZOTU_769	0
ZOTU_770	38
ZOTU_771	5
ZOTU_772	0
ZOTU_773	0
ZOTU_774	0
ZOTU_775	0
ZOTU_776	16
ZOTU_777	0
ZOTU_778	0
ZOTU_779	0
ZOTU_780	0
ZOTU_781	1
ZOTU_782	0
ZOTU_783	0
ZOTU_785	7
ZOTU_786	0
ZOTU_787	0
ZOTU_788	0
ZOTU_789	0
ZOTU_790	0
ZOTU_791	0
ZOTU_792	0
ZOTU_793	0
ZOTU_794	0
ZOTU_795	0
ZOTU_797	0
ZOTU_798	0
ZOTU_799	0
ZOTU_800	0
ZOTU_801	0
ZOTU_802	0
ZOTU_803	0
ZOTU_804	3
ZOTU_805	0
ZOTU_806	0
ZOTU_807	0
ZOTU_809	0
ZOTU_810	0
ZOTU_811	0
ZOTU_812	82
ZOTU_813	0
ZOTU_814	9
ZOTU_815	0
ZOTU_816	0
ZOTU_817	0
ZOTU_818	0
ZOTU_819	0
ZOTU_820	0
ZOTU_821	16
ZOTU_822	0
ZOTU_823	0
ZOTU_824	0
ZOTU_825	0
ZOTU_826	0
ZOTU_827	0
ZOTU_828	0
ZOTU_829	0
ZOTU_830	0
ZOTU_831	0
ZOTU_832	0
ZOTU_833	0
ZOTU_834	0
ZOTU_835	0
ZOTU_836	0
ZOTU_837	0
ZOTU_838	0
ZOTU_839	0
ZOTU_840	0
ZOTU_841	9
ZOTU_842	0
ZOTU_843	0
ZOTU_844	0
ZOTU_845	0
ZOTU_846	44
ZOTU_847	2
ZOTU_848	0
ZOTU_849	39
ZOTU_850	0
ZOTU_851	0
ZOTU_852	0
ZOTU_853	0
ZOTU_854	0
ZOTU_855	0
ZOTU_856	0
ZOTU_857	0
ZOTU_858	0
ZOTU_859	21
ZOTU_860	0
ZOTU_861	0
ZOTU_862	0
ZOTU_863	0
ZOTU_864	1
ZOTU_865	1
ZOTU_866	0
ZOTU_867	4
ZOTU_868	0
ZOTU_869	0
ZOTU_870	0
ZOTU_871	0
ZOTU_872	0
ZOTU_873	0
ZOTU_874	1
ZOTU_875	0
ZOTU_876	0
ZOTU_877	0
ZOTU_878	0
ZOTU_880	0
ZOTU_881	0
ZOTU_882	0
ZOTU_883	10
ZOTU_884	0
ZOTU_885	0
ZOTU_886	0
ZOTU_887	0
ZOTU_888	0
ZOTU_889	0
ZOTU_890	0
ZOTU_891	0
ZOTU_892	0
ZOTU_893	0
ZOTU_894	0
ZOTU_896	3
ZOTU_897	18
ZOTU_898	0
ZOTU_899	0
ZOTU_900	5
ZOTU_901	0
ZOTU_902	0
ZOTU_903	0
ZOTU_904	0
ZOTU_905	0
ZOTU_906	0
ZOTU_907	0
ZOTU_908	0
ZOTU_909	0
ZOTU_910	33
ZOTU_911	0
ZOTU_912	0
ZOTU_913	0
ZOTU_914	0
ZOTU_915	0
ZOTU_916	0
ZOTU_917	0
ZOTU_918	1
ZOTU_919	0
ZOTU_920	0
ZOTU_921	0
ZOTU_922	0
ZOTU_923	0
ZOTU_924	48
ZOTU_925	0
ZOTU_926	0
ZOTU_927	0
ZOTU_928	0
ZOTU_929	0
ZOTU_930	2
ZOTU_931	0
ZOTU_932	0
ZOTU_933	0
ZOTU_934	0
ZOTU_935	0
ZOTU_936	0
ZOTU_937	0
ZOTU_938	0
ZOTU_939	0
ZOTU_940	0
ZOTU_941	0
ZOTU_942	0
ZOTU_943	0
ZOTU_944	13
ZOTU_945	61
ZOTU_946	0
ZOTU_947	0
ZOTU_948	0
ZOTU_949	0
ZOTU_950	0
ZOTU_951	17
ZOTU_952	0
ZOTU_953	0
ZOTU_954	0
ZOTU_955	0
ZOTU_956	0
ZOTU_957	0
ZOTU_958	0
ZOTU_959	0
ZOTU_960	0
ZOTU_961	0
ZOTU_962	0
ZOTU_965	0
ZOTU_966	0
ZOTU_967	0
ZOTU_968	0
ZOTU_969	0
ZOTU_970	0
ZOTU_971	0
ZOTU_972	0
ZOTU_973	0
ZOTU_974	0
ZOTU_975	5
ZOTU_976	0
ZOTU_977	0
ZOTU_978	0
ZOTU_979	0
ZOTU_980	0
ZOTU_981	0
ZOTU_982	0
ZOTU_983	0
ZOTU_984	14
ZOTU_985	0
ZOTU_986	0
ZOTU_987	0
ZOTU_988	1
ZOTU_989	0
ZOTU_990	0
ZOTU_991	0
ZOTU_992	0
ZOTU_993	0
ZOTU_994	0
ZOTU_995	0
ZOTU_996	23
ZOTU_997	0
ZOTU_998	0
ZOTU_999	0
ZOTU_1000	0
ZOTU_1001	0
ZOTU_1002	0
ZOTU_1003	0
ZOTU_1004	5
ZOTU_1005	0
ZOTU_1006	0
ZOTU_1007	0
ZOTU_1008	0
ZOTU_1009	0
ZOTU_1010	0
ZOTU_1011	0
ZOTU_1012	0
ZOTU_1013	0
ZOTU_1014	0
ZOTU_1015	0
ZOTU_1016	0
ZOTU_1017	0
ZOTU_1018	2
ZOTU_1019	0
ZOTU_1020	5
ZOTU_1021	0
ZOTU_1022	0
ZOTU_1023	0
ZOTU_1024	0
ZOTU_1025	0
ZOTU_1026	0
ZOTU_1027	0
ZOTU_1028	0
ZOTU_1029	0
ZOTU_1030	0
ZOTU_1031	0
ZOTU_1032	0
ZOTU_1033	0
ZOTU_1034	0
ZOTU_1035	0
ZOTU_1036	0
ZOTU_1037	0
ZOTU_1038	0
ZOTU_1039	0
ZOTU_1040	0
ZOTU_1041	1
ZOTU_1042	0
ZOTU_1043	0
ZOTU_1044	0
ZOTU_1045	0
ZOTU_1046	0
ZOTU_1047	0
ZOTU_1048	0
ZOTU_1049	0
ZOTU_1050	0
ZOTU_1051	0
ZOTU_1052	2
ZOTU_1053	0
ZOTU_1054	0
ZOTU_1055	13
ZOTU_1056	2
ZOTU_1057	0
ZOTU_1058	0
ZOTU_1059	0
ZOTU_1060	0
ZOTU_1061	0
ZOTU_1062	0
ZOTU_1063	0
ZOTU_1064	0
ZOTU_1065	0
ZOTU_1066	1
ZOTU_1067	0
ZOTU_1068	0
ZOTU_1069	0
ZOTU_1070	0
ZOTU_1071	0
ZOTU_1072	0
ZOTU_1073	0
ZOTU_1074	0
ZOTU_1075	0
ZOTU_1076	2
ZOTU_1077	0
ZOTU_1078	0
ZOTU_1079	15
ZOTU_1080	0
ZOTU_1081	0
ZOTU_1082	0
ZOTU_1083	0
ZOTU_1084	0
ZOTU_1085	0
ZOTU_1086	17
ZOTU_1087	0
ZOTU_1088	5
ZOTU_1089	0
ZOTU_1090	0
ZOTU_1091	0
ZOTU_1092	0
ZOTU_1093	0
ZOTU_1094	0
ZOTU_1095	1
ZOTU_1096	0
ZOTU_1097	0
ZOTU_1098	0
ZOTU_1099	0
ZOTU_1100	0
ZOTU_1101	0
ZOTU_1102	0
ZOTU_1103	0
ZOTU_1104	0
ZOTU_1105	0
ZOTU_1106	0
ZOTU_1107	0
ZOTU_1108	0
ZOTU_1109	5
ZOTU_1110	0
ZOTU_1111	0
ZOTU_1112	1
ZOTU_1113	0
ZOTU_1115	0
ZOTU_1116	0
ZOTU_1117	0
ZOTU_1118	0
ZOTU_1119	0
ZOTU_1120	0
ZOTU_1121	0
ZOTU_1122	0
ZOTU_1123	0
ZOTU_1124	0
ZOTU_1125	0
ZOTU_1126	0
ZOTU_1127	0
ZOTU_1128	0
ZOTU_1129	0
ZOTU_1130	0
ZOTU_1131	0
ZOTU_1132	0
ZOTU_1133	0
ZOTU_1134	8
ZOTU_1135	0
ZOTU_1136	0
ZOTU_1137	0
ZOTU_1138	0
ZOTU_1139	0
ZOTU_1140	0
ZOTU_1141	0
ZOTU_1142	0
ZOTU_1143	0
ZOTU_1144	0
ZOTU_1145	0
ZOTU_1146	0
ZOTU_1147	40
ZOTU_1148	0
ZOTU_1149	0
ZOTU_1150	0
ZOTU_1151	0
ZOTU_1152	0
ZOTU_1153	0
ZOTU_1154	0
ZOTU_1155	0
ZOTU_1156	0
ZOTU_1157	0
ZOTU_1158	0
ZOTU_1159	0
ZOTU_1160	0
ZOTU_1161	0
ZOTU_1162	44
ZOTU_1163	0
ZOTU_1164	3
ZOTU_1165	13
ZOTU_1166	0
ZOTU_1167	0
ZOTU_1168	0
ZOTU_1169	0
ZOTU_1170	0
ZOTU_1171	67
ZOTU_1172	0
ZOTU_1173	0
ZOTU_1174	0
ZOTU_1175	0
ZOTU_1176	0
ZOTU_1177	66
ZOTU_1178	0
ZOTU_1179	0
ZOTU_1180	0
ZOTU_1181	0
