#OTU ID	S1	S2	S3	S4	S5	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	H1	H2	H3	H4	H5
ZOTU_172	0	0	1	0	2	0	2	0	0	0	46	0	0	12	72	0	367	0
ZOTU_173	20	48	0	0	129	2	97	40	8	32	7	67	3	1	1	6	17	1
ZOTU_174	3	92	64	14	28	29	1	13	36	21	0	0	8	26	84	32	33	0
ZOTU_175	0	221	0	0	41	2	30	0	0	1	0	36	0	0	68	0	0	3
ZOTU_176	0	0	1	108	155	7	46	0	16	5	54	1	0	48	29	0	0	24
ZOTU_177	0	324	0	0	0	0	1	0	0	2	1	1	0	86	0	0	4	0
ZOTU_178	0	2	0	85	313	0	2	0	0	0	0	1	0	0	0	0	2	0
ZOTU_179	0	0	0	0	0	0	9	349	0	1	0	0	0	14	0	0	1	0
ZOTU_180	2	0	4	1	2	0	179	0	1	12	65	135	4	23	0	3	3	0
ZOTU_181	4	125	0	0	0	207	0	0	11	4	0	0	71	22	75	0	1	0
ZOTU_182	10	0	8	96	44	182	0	0	0	3	2	18	4	7	0	44	31	0
ZOTU_183	10	18	14	2	0	11	173	0	7	8	137	74	22	1	0	2	0	0
ZOTU_184	0	0	8	102	2	32	28	2	33	55	0	137	5	27	13	0	3	15
ZOTU_185	10	136	5	1	0	0	5	12	1	12	5	80	3	8	158	2	0	0
ZOTU_186	0	0	0	0	28	0	0	44	0	0	40	0	5	5	0	0	0	248
ZOTU_187	0	10	12	116	29	25	1	26	0	64	43	603	6	15	0	1	0	6
ZOTU_188	0	0	0	0	0	0	0	0	0	0	0	352	0	0	0	0	0	0
ZOTU_189	32	179	0	9	0	96	5	39	3	19	0	0	6	4	16	16	5	20
ZOTU_190	0	27	0	32	0	1	0	0	299	0	0	0	0	0	0	0	6	7
ZOTU_191	0	0	0	4	0	1	416	0	0	0	3	2	2	0	1	0	1	2
ZOTU_192	26	0	0	74	41	124	6	0	0	2	0	0	0	0	1	97	23	0
ZOTU_193	1	13	0	0	11	0	69	1	2	0	15	27	0	0	0	235	2	6
ZOTU_194	0	0	0	0	0	1	99	13	1	0	1	0	0	0	0	0	246	0
ZOTU_195	9	67	46	22	42	28	1	60	1	22	20	19	1	28	41	28	19	7
ZOTU_196	2	164	6	80	2	30	1	22	1	0	2	0	33	0	4	24	0	0
ZOTU_197	27	0	0	0	96	1	11	60	0	6	0	29	0	19	102	17	64	9
ZOTU_198	0	1	17	0	2	221	0	3	0	0	0	26	8	0	0	0	69	1
ZOTU_199	57	0	28	40	3	1	9	0	18	27	157	37	0	47	0	0	0	0
ZOTU_200	0	0	0	0	0	0	23	1	0	6	0	225	0	0	0	0	96	1
ZOTU_201	55	50	5	4	0	90	52	18	4	1	0	0	25	18	61	20	20	4
ZOTU_203	21	10	1	21	103	41	34	0	27	10	0	7	38	10	31	19	0	4
ZOTU_204	13	11	41	8	78	52	29	88	7	25	0	73	7	16	11	30	69	17
ZOTU_205	18	5	0	39	57	86	8	53	0	2	0	34	4	16	65	22	48	3
ZOTU_206	0	12	9	47	36	45	8	36	14	60	0	81	1	61	63	0	1	0
ZOTU_207	0	10	0	0	0	16	0	2	7	3	0	248	0	5	66	0	8	0
ZOTU_208	0	157	0	1	4	2	117	0	10	30	16	7	42	26	4	3	4	2
ZOTU_209	0	94	5	28	81	34	1	2	11	101	17	14	4	0	6	49	3	14
ZOTU_210	0	15	4	0	2	40	1	5	0	0	2	110	17	22	60	101	2	23
ZOTU_211	0	137	32	15	32	54	1	0	41	3	1	2	3	3	26	0	0	5
ZOTU_212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0
ZOTU_213	0	0	0	0	0	0	320	0	0	0	0	0	0	0	0	0	1	0
ZOTU_214	1	37	0	20	0	53	35	23	0	2	0	17	9	25	69	67	4	51
ZOTU_215	0	1	0	0	0	0	1	0	0	0	0	0	5	0	352	0	3	6
ZOTU_216	0	152	0	7	24	0	6	0	0	4	0	54	5	0	54	0	4	2
ZOTU_217	17	18	18	8	0	143	0	1	0	0	21	54	28	7	44	1	2	5
